,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
366,uruguaiana,-29.7547,-57.0883,53.6,87,0,5.75,BR,1619410724
367,manggar,-2.8833,108.2667,86.58,61,21,9.08,ID,1619410537
368,angoram,-4.0625,144.0661,91.74,51,67,2.98,PG,1619410724
369,aklavik,68.2191,-135.0107,14.0,85,100,6.91,CA,1619410724
370,keetmanshoop,-26.5833,18.1333,66.2,39,0,5.75,NA,1619410725
371,san quintin,30.4833,-115.95,57.24,83,26,12.64,MX,1619410725
372,hit,33.6416,42.8251,86.45,17,100,7.43,IQ,1619410717
373,wajima,37.4,136.9,51.8,30,0,11.5,JP,1619410726
374,ossora,59.2353,163.0719,33.12,98,98,1.68,RU,1619410726
375,gat,31.61,34.7642,66.99,100,17,4.0,IL,1619410727
376,san patricio,28.017,-97.5169,75.2,88,75,9.22,US,1619410670
377,mercedes,-34.6515,-59.4307,55.0,92,98,5.3,AR,1619410727
378,lagoa,39.05,-27.9833,58.8,85,100,10.63,PT,1619410570
379,deer lake,49.1667,-57.4316,30.2,86,1,4.61,CA,1619410728
380,lhokseumawe,5.1801,97.1507,85.23,65,96,2.28,ID,1619410728
381,ciudad bolivar,8.1222,-63.5497,79.88,68,100,14.03,VE,1619410729
382,sorland,67.667,12.6934,37.58,62,100,9.46,NO,1619410729
383,jiuquan,39.7432,98.5174,50.76,10,1,13.15,CN,1619410725
384,monrovia,6.3005,-10.7969,77.0,94,75,4.34,LR,1619410730
385,hualmay,-11.0964,-77.6139,65.8,89,17,8.03,PE,1619410574
386,nuevo progreso,23.1667,-97.95,78.01,77,46,3.0,MX,1619410731
387,vanavara,60.34,102.2797,32.41,65,83,13.02,RU,1619410541
388,yar-sale,66.8333,70.8333,33.49,99,100,15.01,RU,1619410365
389,gorontalo,0.5412,123.0595,89.11,59,100,8.19,ID,1619410731
390,abeche,13.8292,20.8324,80.69,25,91,5.93,TD,1619410732
391,walvis bay,-22.9575,14.5053,60.01,100,21,6.91,NA,1619410419
392,floro,61.5996,5.0328,35.6,64,7,8.05,NO,1619410643
393,husavik,66.0449,-17.3389,35.6,87,75,8.05,IS,1619410612
394,aksu,41.1231,80.2644,63.82,17,10,6.31,CN,1619410733
395,biak,-0.9131,122.8766,83.41,66,68,6.46,ID,1619410733
396,gleisdorf,47.1061,15.7127,39.0,16,97,2.06,AT,1619410734
397,havoysund,70.9963,24.6622,32.0,86,75,5.75,NO,1619410562
398,harqalah,36.0303,10.509,62.01,82,75,5.75,TN,1619410734
399,jumla,29.2747,82.1838,65.26,18,0,4.52,NP,1619410735
400,ulaangom,49.9811,92.0667,38.93,50,0,0.67,MN,1619410622
401,maceio,-9.6658,-35.7353,73.4,94,0,4.61,BR,1619410725
402,sicamous,50.8331,-118.9856,50.0,50,100,1.14,CA,1619410736
403,merauke,-8.4667,140.3333,82.96,73,99,4.05,ID,1619410736
404,mandera,3.9366,41.867,79.97,69,52,7.72,KE,1619410736
405,mitha tiwana,32.2486,72.1108,90.01,12,6,5.53,PK,1619410737
406,lagunas,-5.2269,-75.6753,76.57,85,100,1.99,PE,1619410737
407,balod,20.73,81.2047,98.08,8,1,4.56,IN,1619410738
408,andenes,69.3143,16.1194,35.6,64,90,12.66,NO,1619410738
409,ozinki,51.1786,49.6769,46.29,45,89,4.88,RU,1619410739
410,warrington,53.3925,-2.5802,42.8,81,36,4.61,GB,1619410380
411,innisfail,-17.5333,146.0333,73.47,93,100,13.53,AU,1619410512
412,maputo,-25.9653,32.5892,68.0,94,20,3.44,MZ,1619410739
413,nagtipunan,16.2167,121.6,86.38,51,48,3.89,PH,1619410740
414,ambulu,-8.345,113.6058,86.86,59,1,6.38,ID,1619410540
415,fruitville,27.3298,-82.4576,73.99,83,1,6.91,US,1619410740
416,tessalit,20.1986,1.0114,84.18,9,9,8.7,ML,1619410741
417,khandyga,62.6667,135.6,32.0,92,100,6.76,RU,1619410741
418,etchojoa,26.9167,-109.6333,75.99,33,100,8.1,MX,1619410742
419,lata,40.1629,-8.3327,57.2,88,40,5.75,PT,1619410541
420,monte escobedo,22.3,-103.5833,60.96,32,41,6.38,MX,1619410742
421,ivankiv,50.9386,29.8943,37.4,81,90,2.24,UA,1619410743
422,isiro,2.7739,27.616,65.55,99,100,2.01,CD,1619410743
423,padang,-0.9492,100.3543,87.8,66,40,5.75,ID,1619410538
424,olafsvik,64.8945,-23.7142,39.47,87,12,11.81,IS,1619410599
425,neiafu,-18.65,-173.9833,82.4,74,20,6.91,TO,1619410628
426,zhangjiakou,40.81,114.8794,63.86,42,65,6.62,CN,1619410744
427,ucluelet,48.9329,-125.5528,50.0,83,100,2.19,CA,1619410472
428,tibiri,13.5627,7.0485,83.53,39,50,7.67,NE,1619410745
429,wukari,7.85,9.7833,77.9,76,67,4.68,NG,1619410745
430,wuan,31.6836,112.0044,58.6,79,100,1.52,CN,1619410745
431,hovd,48.0056,91.6419,36.57,19,1,2.42,MN,1619410520
432,guilin,25.2819,110.2864,66.2,77,75,6.71,CN,1619410746
433,urucui,-7.2294,-44.5561,74.53,92,100,2.01,BR,1619410746
434,les cayes,18.2,-73.75,74.79,84,9,2.84,HT,1619410747
435,farmington,36.7281,-108.2187,64.0,11,1,10.36,US,1619410567
436,sobolevo,54.4299,31.8996,31.78,77,11,7.56,RU,1619410611
437,carutapera,-1.195,-46.02,75.67,91,57,4.56,BR,1619410572
438,poum,-20.2333,164.0167,77.4,69,43,22.97,NC,1619410435
439,kurtamysh,54.9103,64.4319,49.39,43,44,17.2,RU,1619410748
440,sassandra,4.95,-6.0833,75.27,89,89,3.91,CI,1619410749
441,casper,42.8666,-106.3131,57.0,43,90,9.22,US,1619410749
442,hamilton,39.1834,-84.5333,46.4,61,1,3.6,US,1619410512
443,mayskiy,47.6931,40.1025,46.4,81,40,8.95,RU,1619410750
444,yulara,-25.2406,130.9889,77.0,20,0,11.5,AU,1619410544
445,fort nelson,58.8053,-122.7002,48.2,25,75,19.57,CA,1619410539
446,aginskoye,51.1,114.53,54.07,41,37,16.15,RU,1619410751
447,funadhoo,6.15,73.2667,83.82,71,15,3.69,MV,1619410751
448,cam ranh,11.9214,109.1591,89.6,62,20,8.05,VN,1619410752
449,sao filipe,14.8961,-24.4956,71.98,70,99,8.77,CV,1619410374
450,alekseyevka,50.6309,38.6903,41.92,63,97,4.07,RU,1619410752
451,gizo,-8.103,156.8419,84.6,69,20,3.96,SB,1619410479
452,porto velho,-8.7619,-63.9039,77.0,94,40,2.3,BR,1619410578
453,yerbogachen,61.2767,108.0108,29.84,57,99,13.33,RU,1619410330
454,nuuk,64.1835,-51.7216,37.4,87,75,5.75,GL,1619410669
455,bogorodskoye,56.55,37.8833,33.28,81,99,12.75,RU,1619410688
456,ahipara,-35.1667,173.1667,63.14,65,22,7.67,NZ,1619410643
457,kropotkin,45.4375,40.5756,48.0,82,100,10.29,RU,1619410754
458,hofn,64.2539,-15.2082,42.75,69,10,13.38,IS,1619410631
459,katsuura,35.1333,140.3,63.0,25,20,17.27,JP,1619410470
460,makushino,55.2103,67.2442,51.39,50,31,17.07,RU,1619410755
461,bismarck,46.8083,-100.7837,39.2,87,90,9.22,US,1619410549
462,fuerte olimpo,-21.0415,-57.8738,69.53,73,100,3.87,PY,1619410542
463,mogadishu,2.0371,45.3438,82.4,69,75,6.91,SO,1619410756
464,amargosa,-13.0303,-39.6047,70.09,95,100,3.27,BR,1619410756
465,lasa,46.6166,10.7002,46.99,87,40,4.61,IT,1619410735
466,xuddur,4.1213,43.8894,74.91,81,72,11.39,SO,1619410757
467,gravdal,68.1214,13.5031,37.0,64,99,7.47,NO,1619410621
468,chhatak,25.0333,91.6667,94.82,24,1,3.94,BD,1619410758
469,dong hoi,17.4833,106.6,86.32,74,81,8.61,VN,1619410758
470,ngunguru,-35.6167,174.5,64.99,71,41,5.99,NZ,1619410758
471,urdoma,61.7533,48.5442,36.99,85,100,5.82,RU,1619410759
472,vostok,46.4856,135.8833,48.56,26,9,8.79,RU,1619410759
473,te anau,-45.4167,167.7167,46.31,78,93,6.46,NZ,1619410487
474,viedma,-40.8135,-62.9967,53.89,76,25,10.18,AR,1619410683
475,visby,57.6409,18.296,37.4,75,75,14.97,SE,1619410760
476,changji,44.0167,87.3167,53.6,16,0,4.47,CN,1619410761
477,anadyr,64.75,177.4833,26.6,100,75,2.24,RU,1619410761
478,asyut,27.181,31.1837,71.6,35,0,11.5,EG,1619410761
479,xiongzhou,25.1167,114.3,69.3,80,100,2.64,CN,1619410762
480,ouegoa,-20.35,164.4333,79.32,65,62,8.43,NC,1619410762
481,miraflores,19.2167,-98.8083,68.0,52,75,9.22,MX,1619410762
482,zaysan,47.4667,84.8667,48.31,31,44,5.37,KZ,1619410754
483,fare,-16.7,-151.0167,81.5,63,2,1.25,PF,1619410415
484,ancud,-41.8697,-73.8203,52.0,100,90,5.75,CL,1619410495
485,san jose de gracia,20.6667,-102.5833,70.14,37,42,3.36,MX,1619410763
486,westport,41.1415,-73.3579,52.0,76,75,6.91,US,1619410729
487,kassala,15.451,36.4,88.38,33,78,3.49,SD,1619410764
488,ubinskoye,55.3068,79.6802,50.83,43,96,14.23,RU,1619410764
489,sao caetano de odivelas,-0.75,-48.02,74.44,95,96,4.34,BR,1619410765
490,madison heights,42.4859,-83.1052,36.0,75,1,8.05,US,1619410766
491,palang,23.2167,90.35,89.6,55,12,6.91,BD,1619410517
492,kununurra,-15.7667,128.7333,91.4,33,40,9.22,AU,1619410766
493,honolulu,21.3069,-157.8583,80.01,57,40,20.71,US,1619410496
494,batagay-alyta,67.8006,130.4114,30.07,89,100,4.16,RU,1619410767
495,rafai,4.95,23.9167,68.63,99,100,2.06,CF,1619410767
496,bryan,30.6744,-96.37,70.0,73,1,13.8,US,1619410588
497,kahului,20.8947,-156.47,73.4,83,40,18.41,US,1619410471
498,avera,33.194,-82.5271,59.0,67,1,8.05,US,1619410531
499,bodden town,19.2833,-81.25,80.6,78,0,2.3,KY,1619410728
500,moussoro,13.6408,16.4901,81.48,18,98,5.39,TD,1619410768
501,antigonish,45.6169,-61.9986,46.0,95,100,3.0,CA,1619410769
502,ayan,56.45,138.1667,31.93,82,92,5.21,RU,1619410698
503,swakopmund,-22.6833,14.5333,60.01,100,12,6.91,NA,1619410770
504,marsh harbour,26.5412,-77.0636,77.85,75,0,9.93,BS,1619410553
505,manta,-0.95,-80.7333,77.0,78,0,2.3,EC,1619410771
506,karasburg,-28.0167,18.75,64.15,44,100,4.83,NA,1619410771
507,asau,46.4333,26.4,37.99,64,64,1.01,RO,1619410662
508,la sarre,48.8002,-79.1996,17.64,87,35,10.27,CA,1619410772
509,warmbad,-28.45,18.7333,66.34,45,100,4.65,NA,1619410607
510,labuhan,-6.8844,112.2051,86.54,62,2,11.36,ID,1619410685
511,kalundborg,55.6795,11.0886,37.99,87,27,5.99,DK,1619410569
512,varkaus,62.3153,27.873,37.4,93,90,12.66,FI,1619410573
513,lagoa vermelha,-28.2086,-51.5258,50.27,97,46,2.1,BR,1619410773
514,jungapeo,19.45,-100.4833,70.79,42,68,5.01,MX,1619410773
515,coquimbo,-29.9533,-71.3436,53.6,87,0,2.3,CL,1619410396
516,westonaria,-26.3191,27.6486,53.01,49,0,0.96,ZA,1619410774
517,hutchinson,38.0608,-97.9298,66.99,59,1,17.27,US,1619410619
518,karachi,24.9056,67.0822,86.0,66,0,4.61,PK,1619410675
519,karpogory,64.0019,44.4451,39.04,96,100,6.13,RU,1619410775
520,linxia,35.6003,103.2064,45.77,43,100,4.79,CN,1619410775
521,mizan teferi,6.9833,35.5833,61.63,95,100,0.43,ET,1619410775
522,baruun-urt,46.6806,113.2792,48.69,21,4,31.81,MN,1619410574
523,taltal,-25.4,-70.4833,61.36,83,0,1.05,CL,1619410733
524,ivanovka,42.8878,75.085,60.8,39,0,4.47,KG,1619410776
525,beira,-19.8436,34.8389,71.6,94,20,6.15,MZ,1619410776
526,kijang,35.2442,129.2139,68.0,30,0,10.36,KR,1619410777
527,umm lajj,25.0213,37.2685,79.95,53,0,5.48,SA,1619410483
528,fethiye,36.6217,29.1164,59.0,82,0,6.91,TR,1619410557
529,muros,42.7762,-9.0603,53.01,95,16,1.99,ES,1619410719
530,cap malheureux,-19.9842,57.6142,77.0,85,100,5.99,MU,1619410635
531,ambilobe,-13.2,49.05,73.18,82,91,3.11,MG,1619410516
532,sur,22.5667,59.5289,88.86,38,19,3.74,OM,1619410630
533,aswan,24.0934,32.907,79.66,25,0,13.15,EG,1619410695
534,keti bandar,24.1447,67.4497,85.3,62,0,15.08,PK,1619410579
535,kamenka,51.3223,42.7678,42.01,55,100,4.38,RU,1619410675
536,hun,29.1268,15.9477,58.32,72,10,9.17,LY,1619410779
537,harper,4.375,-7.7169,75.63,88,98,4.47,LR,1619410473
538,kirakira,-10.4544,161.9205,84.38,74,76,0.72,SB,1619410579
539,quelimane,-17.8786,36.8883,73.0,100,27,3.38,MZ,1619410780
540,bitung,1.4451,125.1824,89.6,58,40,8.05,ID,1619410593
541,scottsbluff,41.8666,-103.6672,62.6,36,1,11.5,US,1619410780
542,puerto escondido,15.85,-97.0667,82.4,78,40,4.61,MX,1619410661
543,ojinaga,29.5667,-104.4167,84.2,10,1,13.8,MX,1619410781
544,chicama,-7.8447,-79.1469,68.32,80,11,7.23,PE,1619410781
545,burnie,-41.0667,145.9167,59.0,64,15,15.01,AU,1619410782
546,teguldet,57.3064,88.1667,38.88,96,100,3.56,RU,1619410782
547,adjumani,3.3779,31.7909,65.79,97,94,1.12,UG,1619410783
548,paraiso,9.8383,-83.8656,71.6,68,20,3.44,CR,1619410783
549,aykhal,66.0,111.5,11.75,90,100,30.53,RU,1619410783
550,ballina,-28.8667,153.5667,71.6,64,40,11.5,AU,1619410784
551,pacifica,37.6138,-122.4869,51.01,93,20,3.44,US,1619410429
552,bonthe,7.5264,-12.505,80.51,83,98,7.14,SL,1619410701
553,garowe,8.4054,48.4845,77.63,75,58,8.52,SO,1619410784
554,paamiut,61.994,-49.6678,33.98,99,100,6.08,GL,1619410354
555,olga,43.7444,135.2892,54.16,31,22,9.82,RU,1619410785
556,kitimat,54.0524,-128.6534,48.99,52,1,2.93,CA,1619410786
557,yangjiang,21.85,111.9667,74.07,87,100,11.45,CN,1619410786
558,stabat,3.761,98.4513,87.8,70,40,5.75,ID,1619410786
559,pangnirtung,66.1451,-65.7125,29.16,80,98,7.05,CA,1619410615
