,City,Lat,Lng,Max_Temp,Humidity,Cloudiness,Wind_Speed,Country,Date
83,airai,-8.9266,125.4092,74.25,39,36,2.98,TL,1619410392
84,puerto ayora,-0.7393,-90.3518,74.73,87,4,6.85,EC,1619410323
85,alice springs,-23.7,133.8833,77.0,22,0,12.66,AU,1619410508
86,hilo,19.7297,-155.09,73.4,83,90,6.91,US,1619410562
87,at-bashi,41.1702,75.8106,50.81,41,52,2.3,KG,1619410631
88,souillac,-20.5167,57.5167,77.0,88,75,14.97,MU,1619410339
89,maraa,-1.8333,-65.3667,73.94,98,100,2.68,BR,1619410632
90,los llanos de aridane,28.6585,-17.9182,66.2,72,90,9.33,ES,1619410632
91,kaitangata,-46.2817,169.8464,48.0,66,100,3.0,NZ,1619410633
92,simbahan,6.3032,120.5836,83.21,71,17,4.47,PH,1619410633
93,ryotsu,38.0833,138.4333,53.6,50,40,14.97,JP,1619410634
94,dikson,73.5069,80.5464,19.18,93,100,21.16,RU,1619410592
95,kodiak,57.79,-152.4072,42.8,81,1,9.22,US,1619410389
96,khatanga,71.9667,102.5,16.77,86,100,17.02,RU,1619410534
97,zhanaozen,43.3,52.8,67.77,35,19,10.16,KZ,1619410635
98,daru,-9.0763,143.2092,78.78,84,100,5.57,PG,1619410635
99,itoman,26.1247,127.6694,78.8,50,20,11.5,JP,1619410377
100,singaraja,-8.112,115.0882,86.58,60,0,3.27,ID,1619410636
101,codrington,-38.2667,141.9667,60.84,66,100,11.07,AU,1619410322
102,saint-leu,-21.15,55.2833,78.8,69,0,18.41,RE,1619410636
103,port elizabeth,-33.918,25.5701,59.0,88,0,2.3,ZA,1619410476
104,cockburn town,21.4612,-71.1419,78.17,77,39,17.54,TC,1619410637
105,brae,60.3964,-1.353,44.6,93,100,8.05,GB,1619410637
106,arraial do cabo,-22.9661,-42.0278,74.03,87,56,8.88,BR,1619410049
107,cherskiy,68.75,161.3,22.69,72,91,6.46,RU,1619410416
108,atocha,-20.9333,-66.2333,38.17,26,0,4.88,BO,1619410638
109,yuancheng,36.652,107.7896,58.8,45,20,11.9,CN,1619410639
110,dobeln,51.1167,13.1167,26.01,93,12,1.5,DE,1619410639
111,kaihua,23.3687,104.28,76.39,66,55,8.68,CN,1619410640
112,moerai,-22.4333,-151.3333,76.82,60,73,5.84,PF,1619410640
113,fiumicino,41.7675,12.2291,50.0,100,86,4.61,IT,1619410640
114,lichinga,-13.3128,35.2406,62.6,100,75,10.36,MZ,1619410641
115,tuatapere,-46.1333,167.6833,48.0,70,93,20.0,NZ,1619410360
116,saldanha,-33.0117,17.9442,60.8,94,12,10.36,ZA,1619410560
117,moroceli,14.1167,-86.8667,77.0,61,20,5.75,HN,1619410641
118,port-cartier,50.0334,-66.8654,42.01,48,99,8.05,CA,1619410423
119,taunggyi,20.7833,97.0333,85.82,36,100,3.15,MM,1619410642
120,nikolskoye,59.7035,30.7861,39.0,87,90,13.42,RU,1619410633
121,hearst,49.6835,-83.6665,23.0,80,7,3.44,CA,1619410643
122,honiara,-9.4333,159.95,84.72,77,84,4.45,SB,1619410643
123,marienburg,54.0359,19.0266,30.99,85,88,5.77,PL,1619410643
124,severo-kurilsk,50.6789,156.125,31.86,97,100,15.05,RU,1619410526
125,guerrero negro,27.9769,-114.0611,59.02,82,100,11.65,MX,1619410616
126,emerald,-23.5333,148.1667,82.4,21,0,8.05,AU,1619410644
127,mahebourg,-20.4081,57.7,77.0,88,75,14.97,MU,1619410484
128,alugan,12.2188,125.4808,81.93,65,13,11.5,PH,1619410370
129,havelock,34.8791,-76.9013,54.0,93,75,3.58,US,1619410558
130,cabo san lucas,22.8909,-109.9124,73.0,36,100,1.01,MX,1619410610
131,upernavik,72.7868,-56.1549,26.85,75,40,4.72,GL,1619410347
132,butaritari,3.0707,172.7902,83.17,73,16,11.52,KI,1619410333
133,camaqua,-30.8511,-51.8122,56.21,71,1,7.4,BR,1619410646
134,coahuayana,18.7333,-103.6833,72.34,87,84,1.48,MX,1619410581
135,samarai,-10.6167,150.6667,85.98,69,72,12.06,PG,1619410616
136,ipixuna,-1.7625,-48.8043,77.0,94,75,2.3,BR,1619410646
137,lima,-12.0432,-77.0282,64.99,88,40,3.44,PE,1619410647
138,toronto,43.7001,-79.4163,37.4,51,6,10.42,CA,1619410465
139,lhanbryde,57.6167,-3.2167,46.99,81,0,1.14,GB,1619410647
140,margate,51.3813,1.3862,43.0,68,11,3.0,GB,1619410314
141,filingue,14.3521,3.3168,88.34,22,21,3.8,NE,1619410648
142,berlevag,70.8578,29.0864,33.8,86,75,8.05,NO,1619410527
143,okhotsk,59.3833,143.3,27.73,53,1,3.18,RU,1619410649
144,along,28.1667,94.7667,92.23,23,17,0.72,IN,1619410649
145,klaksvik,62.2266,-6.589,42.8,100,100,18.41,FO,1619410378
146,talnakh,69.4865,88.3972,10.36,85,98,8.66,RU,1619410650
147,clyde river,70.4692,-68.5914,23.0,93,90,10.36,CA,1619410586
148,port hardy,50.6996,-127.4199,48.2,100,75,3.44,CA,1619410601
149,kalmunai,7.4167,81.8167,84.58,67,97,6.31,LK,1619410650
150,kitami,43.8031,143.8908,44.6,31,20,11.5,JP,1619410651
151,cabedelo,-6.9811,-34.8339,75.2,94,20,4.61,BR,1619410651
152,hoquiam,46.9809,-123.8893,48.2,81,1,4.61,US,1619410652
153,meulaboh,4.1363,96.1285,85.33,63,92,3.58,ID,1619410652
154,balkhash,46.844,74.9804,57.2,19,0,8.95,KZ,1619410653
155,tucupita,9.0622,-62.051,72.48,87,99,4.07,VE,1619410653
156,bar harbor,44.3876,-68.2039,46.0,100,90,8.05,US,1619410654
157,yeppoon,-23.1333,150.7333,80.6,36,40,9.22,AU,1619410350
158,narsaq,60.9167,-46.05,50.0,32,90,29.93,GL,1619410367
159,okha,53.5739,142.9478,33.42,42,1,2.44,RU,1619410654
160,panalingaan,8.7842,117.4231,84.87,70,47,7.2,PH,1619410655
161,grand gaube,-20.0064,57.6608,77.0,85,100,7.0,MU,1619410424
162,saint-joseph,-21.3667,55.6167,78.8,69,0,18.41,RE,1619410656
163,lebu,-37.6167,-73.65,54.14,93,24,9.82,CL,1619410488
164,murgab,37.4966,61.9714,75.2,35,0,9.22,TM,1619410656
165,zhangye,38.9342,100.4517,47.91,19,64,3.02,CN,1619410657
166,luwuk,-0.9516,122.7875,85.93,65,68,6.2,ID,1619410657
167,naze,28.3667,129.4833,75.2,69,40,19.57,JP,1619410657
168,faya,18.3851,42.4509,62.6,63,40,6.51,SA,1619410580
169,san cristobal,7.7669,-72.225,69.04,74,61,1.86,VE,1619410631
170,chiang kham,19.5233,100.3,84.99,52,98,5.19,TH,1619410658
171,antofagasta,-23.65,-70.4,57.2,82,0,4.61,CL,1619410659
172,ishigaki,24.3448,124.1572,77.0,61,40,12.66,JP,1619410659
173,atyrau,47.1167,51.8833,51.8,76,40,22.37,KZ,1619410660
174,kristiansund,63.1115,7.732,32.0,86,75,3.44,NO,1619410661
175,maldonado,-34.6667,-54.9167,64.4,68,20,18.41,UY,1619410468
176,quechultenango,17.4167,-99.2167,71.19,79,85,4.43,MX,1619410662
177,ilulissat,69.2167,-51.1,48.2,43,75,27.63,GL,1619410582
178,la romana,18.4273,-68.9728,71.6,100,20,11.5,DO,1619410523
179,quatre cocos,-20.2078,57.7625,77.0,88,75,14.97,MU,1619410617
180,nanortalik,60.1432,-45.2371,37.27,93,100,4.56,GL,1619410597
181,nouakchott,18.0858,-15.9785,66.2,68,0,11.5,MR,1619410663
182,markdale,44.3168,-80.6497,34.0,70,48,8.01,CA,1619410663
183,mitsamiouli,-11.3847,43.2844,77.0,88,20,6.91,KM,1619410664
184,deputatskiy,69.3,139.9,28.2,81,74,3.71,RU,1619410664
185,kachiry,53.0675,76.1036,56.89,53,90,10.02,KZ,1619410664
186,kudahuvadhoo,2.6708,72.8944,82.85,69,72,4.0,MV,1619410665
187,ukiah,39.1502,-123.2078,50.0,62,75,4.61,US,1619410665
188,bykivka,50.2929,27.9831,31.5,67,4,4.74,UA,1619410666
189,najran,17.4924,44.1277,71.6,53,40,4.61,SA,1619410653
190,jamestown,42.097,-79.2353,33.01,80,1,8.05,US,1619410578
191,abashiri,44.0213,144.2697,44.6,31,20,11.5,JP,1619410666
192,thompson,55.7435,-97.8558,30.2,93,90,3.44,CA,1619410598
193,sanmenxia,34.7747,111.1814,67.03,58,63,6.71,CN,1619410667
194,stornoway,58.2093,-6.3865,48.99,81,100,11.5,GB,1619410570
195,roros,62.5747,11.3842,26.6,74,75,4.61,NO,1619410414
196,adrar,20.5022,-10.0711,76.91,21,48,9.64,MR,1619410562
197,nyurba,63.2842,118.3319,26.71,84,100,11.52,RU,1619410668
198,aleksandrov gay,50.147,48.5704,46.27,52,100,4.09,RU,1619410668
199,niles,42.0189,-87.8028,41.0,52,90,9.22,US,1619410569
200,kamaishi,39.2667,141.8833,57.2,23,40,13.8,JP,1619410669
201,makasar,-5.14,119.4221,89.6,62,20,2.3,ID,1619410510
202,lorengau,-2.0226,147.2712,85.35,66,92,2.28,PG,1619410583
203,guzelyurt,38.2772,34.3719,55.4,62,75,5.75,TR,1619410670
204,san borja,-14.8167,-66.85,65.64,97,92,2.66,BO,1619410671
205,constitucion,-35.3333,-72.4167,56.39,77,0,8.28,CL,1619410549
206,kavaratti,10.5669,72.642,84.13,73,21,6.87,IN,1619410671
207,provideniya,64.3833,-173.3,33.8,75,0,6.71,RU,1619410335
